사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2023-08,1호선,0150,서울역,"1,348,135","1,281,988","192,774","182,561"
2023-08,1호선,0151,시청,"632,630","638,223","91,677","90,742"
2023-08,1호선,0152,종각,"953,269","950,241","140,171","131,098"
2023-08,1호선,0153,종로3가,"448,626","405,816","272,687","253,726"
2023-08,1호선,0154,종로5가,"464,280","459,639","238,687","230,174"
2023-08,1호선,0155,동대문,"214,512","206,033","115,267","113,885"
2023-08,1호선,0156,신설동,"275,075","266,328","113,648","110,359"
2023-08,1호선,0157,제기동,"223,168","212,758","260,977","278,708"
2023-08,1호선,0158,청량리(서울시립대입구),"336,979","328,930","261,424","263,187"
2023-08,1호선,0159,동묘앞,"133,008","136,485","136,307","136,815"
2023-08,2호선,0201,시청,"658,957","618,840","56,731","52,487"
2023-08,2호선,0202,을지로입구,"1,252,231","1,281,552","99,544","92,157"
2023-08,2호선,0203,을지로3가,"618,148","614,495","70,612","68,838"
2023-08,2호선,0204,을지로4가,"315,037","317,204","76,718","74,642"
2023-08,2호선,0205,동대문역사문화공원(DDP),"353,821","408,436","54,325","58,007"
2023-08,2호선,0206,신당,"322,043","342,334","90,048","91,998"
2023-08,2호선,0207,상왕십리,"336,721","325,545","66,345","66,795"
2023-08,2호선,0208,왕십리(성동구청),"382,784","346,931","49,847","45,075"
2023-08,2호선,0209,한양대,"201,249","213,698","12,648","13,202"
2023-08,2호선,0210,뚝섬,"605,329","644,542","57,746","57,760"
2023-08,2호선,0211,성수,"1,002,228","1,109,521","96,700","98,378"
2023-08,2호선,0212,건대입구,"936,286","1,006,470","86,114","89,574"
2023-08,2호선,0213,구의(광진구청),"581,923","563,214","100,509","101,269"
2023-08,2호선,0214,강변(동서울터미널),"799,987","760,718","111,522","107,521"
2023-08,2호선,0215,잠실나루,"327,233","314,327","84,829","84,865"
2023-08,2호선,0216,잠실(송파구청),"2,074,647","2,055,206","205,198","197,159"
2023-08,2호선,0217,잠실새내,"544,440","550,658","109,148","107,558"
2023-08,2호선,0218,종합운동장,"287,943","314,537","47,898","49,847"
2023-08,2호선,0219,삼성(무역센터),"1,487,097","1,489,273","119,111","110,566"
2023-08,2호선,0220,선릉,"1,328,245","1,163,038","228,988","201,665"
2023-08,2호선,0221,역삼,"1,247,168","1,418,473","141,477","144,453"
2023-08,2호선,0222,강남,"2,135,670","2,069,202","150,557","130,966"
2023-08,2호선,0223,교대(법원.검찰청),"703,119","839,997","136,587","160,235"
2023-08,2호선,0224,서초,"534,732","506,543","77,671","76,582"
2023-08,2호선,0225,방배,"357,167","370,908","70,469","69,878"
2023-08,2호선,0226,사당,"922,409","1,037,452","183,648","177,133"
2023-08,2호선,0227,낙성대(강감찬),"684,234","653,134","103,290","105,424"
2023-08,2호선,0228,서울대입구(관악구청),"1,128,806","1,113,258","174,731","164,472"
2023-08,2호선,0229,봉천,"534,675","491,105","145,108","144,348"
2023-08,2호선,0230,신림,"1,362,479","1,280,050","191,981","189,138"
2023-08,2호선,0231,신대방,"605,214","578,717","123,389","125,047"
2023-08,2호선,0232,구로디지털단지,"1,418,910","1,404,355","179,190","179,971"
2023-08,2호선,0233,대림(구로구청),"555,988","567,087","120,778","124,873"
2023-08,2호선,0234,신도림,"1,192,555","1,177,824","216,688","203,909"
2023-08,2호선,0235,문래,"521,039","540,333","84,963","83,680"
2023-08,2호선,0236,영등포구청,"490,920","503,161","95,415","91,109"
2023-08,2호선,0237,당산,"439,463","510,524","54,410","60,732"
2023-08,2호선,0238,합정,"884,224","970,452","66,417","66,725"
2023-08,2호선,0239,홍대입구,"1,933,296","2,100,640","95,908","93,189"
2023-08,2호선,0240,신촌,"941,200","968,610","121,905","119,289"
2023-08,2호선,0241,이대,"365,764","394,327","47,378","49,420"
2023-08,2호선,0242,아현,"240,473","219,957","63,289","61,771"
2023-08,2호선,0243,충정로(경기대입구),"231,353","243,865","46,858","46,865"
2023-08,2호선,0244,용답,"61,419","59,892","17,099","16,741"
2023-08,2호선,0245,신답,"35,697","40,878","9,219","9,793"
2023-08,2호선,0246,신설동,"74,972","69,573","29,598","31,257"
2023-08,2호선,0247,도림천,"28,576","29,319","8,294","9,181"
