사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
23-Aug,1호선,150,서울역,592,40,"8,366","9,101","12,963","51,581","40,859","114,440","69,472","229,640","58,290","157,108","61,910","79,495","76,177","71,710","88,586","82,346","87,980","79,320","71,315","69,311","94,470","74,553","113,293","76,640","175,164","88,265","221,869","93,408","111,954","62,877","83,387","44,780","82,263","38,564","55,930","25,714","23,704","12,999","2,364","2,482",1,175,0,0,0,0
23-Aug,1호선,151,시청,37,2,"2,332","4,699","3,968","24,026","7,858","73,933","11,030","194,418","13,988","87,577","16,718","41,083","22,390","39,796","22,930","37,578","27,754","37,840","35,278","31,332","44,660","29,888","55,695","27,102","92,710","27,898","162,073","26,815","61,869","14,431","54,338","9,804","48,070","8,920","30,212","6,739","10,102","4,132",294,934,1,18,0,0,0,0
23-Aug,1호선,152,종각,100,0,"3,918","5,778","4,331","28,697","6,706","115,651","10,667","273,612","13,345","153,850","19,756","63,097","28,919","60,543","35,229","51,055","44,751","52,994","52,853","44,184","64,900","38,189","78,063","40,477","155,947","45,262","226,325","49,704","94,944","25,424","81,786","12,434","84,969","9,049","59,684","6,408","25,328","4,128",919,797,0,6,0,0,0,0
23-Aug,1호선,153,종로3가,154,10,"4,074","2,997","3,954","13,580","5,456","26,298","9,370","67,067","13,824","66,046","21,334","54,612","31,498","62,078","41,656","59,617","45,993","57,147","49,916","48,284","57,399","39,488","65,409","36,832","78,565","35,823","92,716","37,086","55,176","19,531","45,617","10,950","46,959","8,792","36,042","6,943","15,172","4,545","1,028","1,771",1,45,0,0,0,0
23-Aug,1호선,154,종로5가,50,0,"2,067","3,594","3,353","15,504","6,294","42,300","10,516","98,546","15,338","63,139","25,492","57,752","38,085","60,680","46,757","54,641","52,879","50,973","56,473","46,450","60,711","40,168","63,874","38,112","84,674","35,878","97,162","33,539","49,088","19,582","34,565","11,231","31,127","7,814","18,175","5,624","6,026","3,374",261,906,0,6,0,0,0,0
23-Aug,1호선,155,동대문,546,25,"10,772","1,896","8,832","6,226","13,629","11,392","18,670","19,064","18,352","20,857","17,026","21,645","18,509","24,668","22,113","23,560","23,948","21,206","24,245","21,065","23,941","20,054","25,243","19,899","24,048","20,155","22,855","20,604","16,345","18,898","13,922","13,887","12,373","12,762","9,527","11,158","4,340","8,425",542,"2,279",1,193,0,0,0,0
23-Aug,1호선,156,신설동,396,33,"9,200","2,357","9,339","8,152","21,693","23,161","30,572","54,943","20,115","31,547","18,012","20,444","19,917","17,696","21,234","17,775","22,252","17,698","20,769","16,797","21,935","18,704","27,444","20,642","38,111","22,938","49,884","30,209","20,401","21,757","13,744","14,822","11,983","13,836","8,149","12,200","3,273","9,042",300,"1,934",0,0,0,0,0,0
23-Aug,1호선,157,제기동,299,4,"5,307","2,329","9,025","9,351","22,488","21,676","32,408","39,605","24,785","35,232","27,107","36,487","31,965","40,332","35,047","42,734","34,935","44,855","37,358","38,213","42,240","34,630","46,545","31,357","44,006","28,104","39,612","28,675","20,947","18,440","13,678","11,698","8,647","11,127","5,621","9,263","2,014","6,225",111,"1,129",0,0,0,0,0,0
23-Aug,1호선,158,청량리(서울시립대입구),"1,067",29,"11,041","3,206","17,511","14,840","42,914","18,491","50,872","36,890","33,645","33,870","32,337","37,019","36,065","41,617","39,784","40,717","40,137","42,054","39,991","42,438","43,884","43,627","49,398","42,600","48,624","42,487","43,568","50,775","24,061","33,202","18,439","20,224","13,266","18,986","8,328","15,690","3,281","10,020",190,"3,335",0,0,0,0,0,0
