,name,phone,address,optime
0,차병원점,02-538-7615,서울시 강남구 논현로 566 강남차병원1층, 평일 07:00~18:00 | 토요일 07:00~15:00 | 일.공휴일 휴무
1,강남대로점,02-588-5778,서울시 서초구 강남대로 369 1층,"월-금 06:30-23:00 | 토-일,공휴일 08:00-23:00  "
2,청담에스점,02-548-6052,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",월-금 07:00~22:00 | 토 07:30~22:00 | 일/공휴일 07:30~21:00
3,신사점,02-548-2741,서울시 강남구 도산대로 126,월-목 07:00~22:00 | 금 07:00~23:00 | 토 08:00~23:00 | 일/공휴일 08:00~22:00
4,역삼점,02-569-8051,"서울시 강남구 논현로 512  지상1,2층", 월-금 07:00~23:00 | 토 08:00~23:00 | 일 08:00~22:00
5,양재스포타임점,02-578-6833,서울시 서초구 강남대로 213 24호 지하1층," 월-금 07:00~22:00 | 토 7:00~ 22:00  | 일, 공휴일 08:00~21:00"
6,청담성당점,02-542-2053,서울시 강남구 삼성로 716 LEE76빌딩2층,월-금 07:00~21:00 | 토 07:30~21:00 | 일/공휴일 07:30~21:00
7,영동점,02-3443-2096,서울 서초구 반포동 736-17 P빌딩 2층,월-목 07:00~23:00 | 금 07:00~24:00 | 토 08:00~24:00 | 일/공휴일 09:00~22:00
8,도곡점,02-572-2781,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호","월~목 06:30~22:00 | 금 06:30~22:30 | 토 06:0~22:30 | 일, 공휴일 06:30~22:00"
9,영동고앞점,02-544-3794,"서울시 강남구 선릉로 749 1,2층",월-금 07:00~22:00 | 토 07:30~22:00 | 일/공휴일 07:30~22:00
10,압구정시티점,02-543-5922,"서울시 강남구 도산대로49길 13 1층 17,18호",월-목 08:00~23:00 | 금-토 08:00~23:00 | 일/공휴일 08:00~22:00
11,압구정로데오점,02-3445-5093,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층,월-목 08:00~23:00 | 금-토 08:00~24:00 | 일/공휴일 08:00~22:00
12,서초우성점,02-582-0158,서울시 서초구 강남대로 51길 1 511 TOWER  1층,평일 07:00~22:30ㅣ토 07:00~22:30 I 일/공휴일 08:00~22:00
13,논현팍스타워점,02-513-3870,서울시 강남구 논현 231-13호 팍스타워지하1층,"월-금 07:00~21:00 | 토 09:00~20:00 | 일,공휴일 09:00-20:00I"
14,삼성오크우드점,02-3466-8507,서울 강남구 테헤란로87길 46 지하 2층,평일 07:00~21:00 | 주말/공휴일 08:00~21:00 
