,name,area,phone,address,status
0,강변역점,서울 광진구,070-7802-0303,"서울 광진구 구의강변로 64, 구의아크로리버 1층 구의동 589-10",영업중
1,용산아이파크몰점,서울 용산구,02-2012-0473,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역) 4층",영업중
2,부산서부터미널점,부산 사상구,051-323-0305,"부산광역시 사상구 사상로 201 (괘법동, 서부시외버스터미널) .",영업중
3,춘천강원대점,강원 춘천시,033-253-0425,강원특별자치도 춘천시 서부대성로 229 (효자동) .,영업중
4,순천조례점,전남 순천시,061-902-7288,"전라남도 순천시 충효로 109 (조례동, 디지털프라자전자랜드) 조례동 1264",영업중
5,진주혁신도시점,경남 진주시,.,경상남도 진주시 에나로128번길 24 (충무공동) .,영업중
6,논산내동점,충남 논산시,041-733-4855,"충청남도 논산시 대학로65번길 6-5 (내동) 101,102,201호",영업중
7,오류동점,서울 구로구,02-2625-4854,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차) .",영업중
8,부천역점,경기 고양시 일산동구,032-665-8255,"경기도 부천시 부일로 448 (심곡동, 프리존빌딩) 110호, 204호",영업중
9,화성병점점,경기 화성시,031-233-4686,"경기도 화성시 병점동로 105 1,2층(진안동)",영업중
10,군산은파유원지DI점,전북 군산시,063-467-1199,전라북도 군산시 백토로 284-35 (나운동) .,영업중
11,잠실학원사거리점,서울 송파구,02-3431-4662,"서울특별시 송파구 석촌호수로 130 (삼전동, 신원빌딩) 삼전동 1-1외 3필지",영업중
12,구미시청점,경북 구미시,054-452-8297,경상북도 구미시 송정대로 54 (송정동) .,영업중
13,화성향남DT점,경기 화성시,031-8059-3458,"경기도 화성시 향남읍 향남로 306 방축리294,295-2번지",영업중
14,발산역점,서울 강서구,02-2663-4976,서울특별시 강서구 강서로 357 (내발산동) .,영업중
15,목동파리공원점,서울 양천구,02-2645-8497,"서울특별시 양천구 목동서로 57 (목동, 현대파리지앙) .",영업중
16,인천한길안과병원점,인천 부평구,032-503-3379,"인천광역시 부평구 부평대로 37 (부평동, 정명빌딩한길안과병원) .",영업중
17,북한산DI점,서울 은평구,02-3157-4843,"서울특별시 은평구 북한산로 248-8 (진관동, 자돈) .",영업중
18,울산시청점,울산 남구,052-911-9978,울산광역시 남구 삼산로 60 (신정동) 1층,영업중
19,울산성남점,울산 중구,052-211-4741,"울산광역시 중구 만남의거리 33, 1F 성남동 256-16",영업중
20,구미상모사곡점,경북 구미시,054-457-7772,경상북도 구미시 박정희로 259 (사곡동) .,영업중
